country,rate_outgroup,r2_outgroup,rate_midpoint,r2_midpoint,rate_diff_root,subtype
Argentina,5.877042142895603e-4,0.040678576291205186,2.8313294265282425e-4,0.01018441652158838,3.04571271636736e-4,RSV-A
Australia,0.002657706569318805,0.24905067765878816,0.0029335151048492138,0.3677062852953346,-2.7580853553040886e-4,RSV-A
Belgium,0.003908716504001898,0.21754283627675644,4.948601187193029e-4,0.02262643109872254,0.003413856385282595,RSV-A
Brazil,0.0017670782458301699,0.057464220551769606,0.003954218780863008,0.6112416601203614,-0.002187140535032838,RSV-A
Canada,0.0020558434442457473,0.13471086670347168,0.002363044535284556,0.3527802924895508,-3.0720109103880887e-4,RSV-A
China,0.0034369962725903226,0.5720153065893296,0.0032147396234545643,0.7130551985826343,2.2225664913575827e-4,RSV-A
Cote d'Ivoire,0.0015667438791135795,0.11798370770034802,-0.0012259619327686967,0.08106926252176624,0.002792705811882276,RSV-A
Cuba,0.014613721324176996,0.6410843837372231,0.0017522060409551749,0.056421958329969116,0.012861515283221821,RSV-A
Egypt,0.001803390734260094,0.14882280215602928,0.0015957867400944756,0.20532718069447883,2.0760399416561832e-4,RSV-A
Finland,-0.003971587000380198,0.023723903692146137,0.002922176074442696,0.07041942620323641,-0.006893763074822893,RSV-A
France,0.0017589062356873073,0.006587649436752231,0.0013067195814692673,0.02055923942488762,4.5218665421804e-4,RSV-A
Germany,0.0032590865558407944,0.5007159157478469,0.002154610235099314,0.31975862491748086,0.0011044763207414803,RSV-A
Hong Kong,0.005326924385463696,0.5366302738850769,0.002855180506791424,0.5154347071284685,0.002471743878672272,RSV-A
India,0.005613400959057005,0.3188926338738905,0.002967748651400057,0.34293022718448424,0.002645652307656948,RSV-A
Iraq,NA,0,NA,0,NA,RSV-A
Ireland,0.0029703249224739946,0.07113805226854535,0.0032126955322346194,0.1327931608154355,-2.423706097606248e-4,RSV-A
Italy,0.004314940764783282,0.028088159359668935,0.002576099741452852,0.029917865518596556,0.0017388410233304297,RSV-A
Japan,-2.828817041698637e-4,0.0011289684871759902,0.0010289047308683031,0.044456150136618265,-0.0013117864350381668,RSV-A
Jordan,0.00400943009197317,0.03557327618383311,0.005529786186149434,0.1143644989795507,-0.0015203560941762636,RSV-A
Kenya,0.00409187976216534,0.6934215975395477,0.0011831301934585219,0.3198667836526552,0.002908749568706818,RSV-A
Kuwait,-0.0010744316296428514,0.001482957635793995,-1.3561485283045837e-4,3.8927326137080214e-5,-9.388167768123929e-4,RSV-A
Mexico,9.128332228941938e-4,0.014827020055321589,8.780089762263211e-4,0.014690952117210181,3.482424666787268e-5,RSV-A
Mongolia,-0.0044245878395378305,0.035321515297848265,0.003816595415870256,0.6026351682997606,-0.008241183255408086,RSV-A
Netherlands,0.005155509738830215,0.185382298008671,0.002181495633606751,0.053453198950320115,0.0029740141052234637,RSV-A
New Zealand,0.002407220342855719,0.022314569779387606,0.002523130752769814,0.13817693994779262,-1.1591040991409517e-4,RSV-A
Nicaragua,-0.0029912044472567402,0.0251616753107604,-0.00218930069835039,0.056735885873286845,-8.019037489063502e-4,RSV-A
Panama,0.0011591547458840608,0.11145634468888074,0.002075912651180848,0.7668143289328171,-9.167579052967872e-4,RSV-A
Paraguay,0.012319776329398586,0.3363177607507545,0.010839248427836994,0.7752746710532668,0.0014805279015615916,RSV-A
Peru,0.0040174888379986215,0.7145232517687633,8.174419780401382e-4,0.09877548679590391,0.0032000468599584836,RSV-A
Philippines,0.003662883669379385,0.7111166233172913,0.001564915696511619,0.512372274113047,0.0020979679728677656,RSV-A
Russia,0.001990672679518264,0.21248016178301743,0.002390950440974791,0.4869819319435352,-4.0027776145652727e-4,RSV-A
Saudi Arabia,0.006945609426212644,0.62434187771807,1.480788960629765e-4,0.0016255979366345164,0.006797530530149668,RSV-A
Slovakia,0.007082713811395383,0.0645296446795127,0.00348482546478214,0.02973524564218129,0.0035978883466132434,RSV-A
South Africa,0.0059763944924587,0.6380085409614696,0.004593725080535277,0.7104223857699433,0.0013826694119234229,RSV-A
South Korea,0.006409339902961093,0.4753937235184345,0.005125742142169325,0.6350068268138465,0.0012835977607917682,RSV-A
Spain,0.0025213931092343566,0.6203902714624127,0.0015433490079489439,0.4017408629625671,9.780441012854127e-4,RSV-A
