subtype,country,rate_pre,rate_post,rate_ratio,rate_diff,se_diff,p_value,n_pre,n_post,r_squared,log_rate_ratio
RSV-A,Argentina,-2.473118179611442e-4,0.001464981046812697,-5.923619254793817,0.001712292864773841,0.0015542003704005053,0.2726672076636307,117,14,0.00663692323995486,NA
RSV-A,Australia,2.198731523008169e-4,-0.0022610058876271094,-10.28322859779506,-0.0024808790399279265,6.269446528534925e-4,1.1012127212709287e-4,131,48,0.04045974624330426,NA
RSV-A,France,6.345592001168759e-4,5.802945398477746e-4,0.9144844795267225,-5.426466026910127e-5,0.0015664585526941868,0.9723936061897664,61,189,0.05734540338535659,-0.08939478283517745
RSV-A,Germany,1.0979990091230938e-4,1.6729798231003935e-5,0.15236624160858783,-9.307010268130544e-5,6.575345408027749e-4,0.887617118680719,136,29,0.07618111350433138,-1.8814681720216164
RSV-A,Ireland,0.00514271773314769,4.422069568522563e-4,0.0859870169428093,-0.004700510776295434,0.0028360254972069213,0.09944246432821506,22,138,0.03929906119534219,-2.453558959906397
RSV-A,Japan,2.9475939733101283e-5,-7.657343101757228e-4,-25.978283206889866,-7.952102499088241e-4,0.0015168342603408065,0.6008123118108318,155,12,0.02391349726578106,NA
RSV-A,Spain,5.185014264491446e-4,-0.0010086575639055072,-1.945332283486857,-0.0015271589903546518,4.2063908032976313e-4,3.9570899860739956e-4,70,74,0.002423428192071212,NA
RSV-A,Switzerland,1.2173091572533814e-4,2.611502435024602e-4,2.1453074754789023,1.3941932777712207e-4,5.648994402550724e-4,0.8053023210054591,6,207,0.004288647081401959,0.7632828873186467
RSV-A,USA,2.1178883647002172e-4,-7.686827568253974e-4,-3.629477217200742,-9.804715932954192e-4,5.512836336114562e-4,0.07738470791313057,83,68,0.15984241605415697,NA
RSV-B,Argentina,0.0010629909093320422,-0.0017877714016893064,-1.6818313176475788,-0.0028507623110213486,0.003144997005012834,0.36603097864787737,123,45,0.8950506530556589,NA
RSV-B,Australia,9.809699096218743e-4,-6.010375882280888e-4,-0.6126972727020397,-0.001582007497849963,7.416126444763312e-4,0.034772851111872755,98,37,0.6924518725474276,NA
RSV-B,France,6.693235241840676e-4,0.008626754104601994,12.888765735700618,0.007957430580417927,0.004458476124297753,0.07869143402648736,32,41,0.6919286093998838,2.556356058735751
RSV-B,Germany,0.0012313989141373844,5.899631339576029e-6,0.004790999303185856,-0.0012254992827978083,6.345599583708284e-4,0.05571482930313618,113,16,0.7499560778789299,-5.34101626652348
RSV-B,Ireland,-0.0018319496450321722,7.203853042151272e-4,-0.39323422789957524,0.0025523349492472995,0.0033632343206159293,0.4490917770590791,47,109,0.0633778186436405,NA
RSV-B,Japan,8.761202327160857e-4,0.003719954211517637,4.245940308883518,0.002843833978801551,0.0012175831123366558,0.021142428323599353,113,13,0.6546061771929598,1.445963304982416
RSV-B,Spain,0.0015538531416885999,5.096209074939932e-4,0.32797237642431193,-0.0010442322341946068,2.1730967365242895e-4,3.676394060157485e-6,59,97,0.6727268175992037,-1.1148258923631078
RSV-B,Switzerland,-0.0013559223362639586,4.235463458580796e-4,-0.31236770317177476,0.0017794686821220383,3.123977395208766e-4,1.6764192743410998e-7,21,69,0.46827709872928586,NA
RSV-B,USA,-6.390040669013169e-4,6.000551992103318e-4,-0.9390475433437263,0.0012390592661116486,4.8774429598066703e-4,0.0120375412039688,71,91,0.10841708868484587,NA
