country,rate_outgroup,r2_outgroup,rate_midpoint,r2_midpoint,rate_diff_root,subtype
Argentina,-2.6848181157183832e-5,0.00156139063587466,-3.103846698647163e-5,0.002468948455662897,4.190285829287799e-6,RSV-A
Australia,-2.51204372529683e-5,7.585161463591091e-4,6.67269593038709e-6,6.840608083055603e-5,-3.179313318335539e-5,RSV-A
Belgium,3.7050804198221775e-4,0.08764677912778857,4.022023135527192e-4,0.10505831620774625,-3.1694271570501464e-5,RSV-A
Brazil,-3.0130448377012918e-5,0.0030826609574093242,-8.371105220562815e-5,0.0455612344632243,5.3580603828615234e-5,RSV-A
Canada,2.7525509111036157e-4,0.07901986754287614,1.0513073356501506e-5,2.483675326042539e-4,2.6474201775386006e-4,RSV-A
China,-1.0444811798473147e-4,0.002941231303935869,-4.6925311343729805e-5,9.019813302370625e-4,-5.7522806641001663e-5,RSV-A
Cote d'Ivoire,2.3207764129091807e-4,0.11773137455869216,2.2104532263102515e-4,0.11801749989565402,1.1032318659892919e-5,RSV-A
Egypt,-0.0017213915192488699,0.10179996911369166,-7.821950148229214e-4,0.11114979153959254,-9.391965044259485e-4,RSV-A
Finland,1.7592523463738378e-4,0.01053806138851548,-1.1832284710348726e-4,0.00571914573758226,2.94248081740871e-4,RSV-A
France,1.065040030872188e-4,0.016376359636384608,1.7746108326801565e-4,0.05402662111086856,-7.095708018079685e-5,RSV-A
Germany,2.428575831014013e-4,0.18043997250866964,1.5342459295419395e-4,0.10067353860089485,8.943299014720736e-5,RSV-A
Hong Kong,5.990630186833699e-4,0.21198223404169816,1.5345484954022818e-4,0.14540851931697601,4.456081691431417e-4,RSV-A
Hungary,-9.590934406925636e-5,0.012795803978415895,9.499394543263357e-5,0.018172065145541563,-1.9090328950188993e-4,RSV-A
India,3.8362219017088167e-4,0.00990550683605158,-4.7586167723756074e-4,0.5059973716023936,8.594838674084425e-4,RSV-A
Iran,0.02279838852966061,0.11986514340883135,0.013618876903709914,0.06680654543691,0.009179511625950695,RSV-A
Iraq,NA,0,NA,0,NA,RSV-A
Ireland,4.7513506719156835e-4,0.07468956436046179,3.130802504318504e-4,0.04288830949117064,1.6205481675971793e-4,RSV-A
Israel,9.234455022016153e-6,5.628719151111244e-5,2.295067408492695e-4,0.04970565484439063,-2.2027228582725334e-4,RSV-A
Italy,0.001338006284715131,0.03196620014529561,7.712843264908835e-4,0.05955433535078083,5.667219582242474e-4,RSV-A
Japan,9.618180285185949e-5,0.03942950059397456,6.917703224671072e-5,0.026422365247061843,2.700477060514877e-5,RSV-A
Jordan,-4.3370837904877554e-4,0.02793192014474448,-5.811935071340083e-4,0.06065285615170263,1.4748512808523278e-4,RSV-A
Kenya,2.8913839108626676e-4,0.32209862717224835,2.0464642861893116e-5,0.004610499248501426,2.6867374822437366e-4,RSV-A
Korea,-1.8216120368362204e-4,0.01244412687750803,-4.8796472230191497e-4,0.21408293197352704,3.0580351861829295e-4,RSV-A
Kuwait,-6.356426105284465e-4,0.010705478454382508,-5.96039692131446e-4,0.011051944860390798,-3.96029183970005e-5,RSV-A
