"geoLocCountry","year","count"
"",2017,5
"",2018,2
"Argentina",2024,3
"Australia",1977,2
"Australia",2016,5
"Australia",2017,14
"Australia",2018,36
"Australia",2023,7
"Belgium",2017,5
"Belgium",2018,19
"Belgium",2019,22
"Belgium",2020,2
"Belgium",2022,2
"Brazil",2008,3
"Brazil",2009,34
"Brazil",2010,18
"Canada",1995,1
"China",2001,7
"China",2002,4
"China",2003,2
"China",2004,3
"China",2008,2
"China",2009,25
"China",2010,18
"China",2011,4
"China",2012,9
"China",2014,1
"China",2015,42
"China",2016,31
"China",2017,18
"China",2018,7
"China",2019,12
"China",2021,197
"China",2023,4
"France",2021,4
"India",2017,1
"Japan",2010,3
"Japan",2011,5
"Japan",2013,4
"Japan",2014,1
"Japan",2015,6
"Japan",2016,11
"Japan",2017,6
"Japan",2019,1
"Japan",2021,3
"Japan",2023,1
"Kenya",2007,2
"Kenya",2008,1
"Kenya",2009,1
"South Africa",2006,1
"South Africa",2020,4
"South Africa",2021,5
"Spain",2010,1
"Spain",2013,1
"Spain",2014,1
"Sri Lanka",2023,2
"Switzerland",2019,1
"Switzerland",2020,1
"Switzerland",2022,13
"Switzerland",2023,12
"Switzerland",2024,3
"Taiwan",2000,4
"Taiwan",2001,3
"Taiwan",2002,4
"Taiwan",2004,4
"Taiwan",2005,8
"Taiwan",2006,1
"Taiwan",2007,8
"Taiwan",2008,7
"Taiwan",2009,9
"Taiwan",2010,7
"Taiwan",2017,6
"Taiwan",2018,22
"Taiwan",2019,9
"Taiwan",2020,1
"Taiwan",2021,1
"USA",1962,2
"USA",1977,1
"USA",1978,1
"USA",1979,4
"USA",1980,6
"USA",1981,2
"USA",1982,9
"USA",1983,3
"USA",1984,4
"USA",1985,5
"USA",1986,3
"USA",1987,9
"USA",1989,8
"USA",1990,5
"USA",1991,13
"USA",1992,5
"USA",1993,26
"USA",1994,11
"USA",1995,6
"USA",1996,5
"USA",1997,3
"USA",1998,2
"USA",2001,10
"USA",2002,13
"USA",2004,1
"USA",2005,3
"USA",2007,3
"USA",2009,1
"USA",2010,1
"USA",2011,13
"USA",2012,11
"USA",2013,8
"USA",2014,23
"USA",2015,11
"USA",2016,2
"USA",2017,5
"USA",2018,37
"USA",2019,110
"USA",2020,16
"USA",2021,47
"USA",2022,63
"USA",2023,6
"USA",2024,29
"Uganda",2013,1
"United Kingdom",1996,1
"United Kingdom",1997,1
"United Kingdom",2009,1
"United Kingdom",2022,9
