accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_0020C84.2	B.2				Karron, R. A.; Buonagurio, D. A.; Georgiu, A. F.; Whitehead, S. S.; Adamus, J. E.; Clements-Mann, M. L.; Harris, D. O.; Randolph, V. B.; Udem, S. A.; Murphy, B. R.; Sidhu, M. S.	Wyeth-Lederle Vaccines and Pediatrics, Viral Vaccine Research		15225	1997-11-02	AF013254.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			AF013254.1			B1	0	0
PP_0020GYK.1	B				Cheng, X.; Park, H.; Jin, H.	MedImmune, Research		15225	2004-04-01	AY353550.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			AY353550.1				0	0
PP_00223A5.2	B	1962	USA		Tapia, L. I.; Piedra, P. A.	Baylor College of Medicine, Molecular Virology and Microbiology	Homo sapiens	3247	2014-03-08	JX198143.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.2168571803967941			JX198143.1			CH-18537	0	0
