accessionVersion,lineage,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs,parsed_date,year,subtype,group_count,sampling_weight
PP_001SG6L.1,A.D.1,2020-01-07,USA,New York,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ277759.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ277759.1,NA,NA,21120530,0,0,2020-01-07T00:00:00Z,2020,RSV-A,726,0.037113480951260276
PP_001RY0J.1,A.D.5,2019-02-11,USA,New York,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ277141.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ277141.1,NA,NA,20321_4_34,0,0,2019-02-11T00:00:00Z,2019,RSV-A,799,0.03537745688386125
PP_001GWDD.1,A.D.3.7,2024-06-07,Japan,NA,"Ichikawa, Y.; Saito, R.","Division of International Health; 1-757 Asahimachi dori, Niigata, Niigata 951-8510",Homo sapiens,15231,2025-02-04,LC862025.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,1,NA,NA,LC862025.1,NA,NA,HRSV/A/Japan/23U038iso/2024,0,0,2024-06-07T00:00:00Z,2024,RSV-A,20,0.22360679774997896
PP_001DRYK.2,A.D,2013-10-09,USA,NA,"Das, S. R.; Halpin, R. A.; Shilts, M.; Puri, V.; Akopov, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Bishop, B.; Katzel, D.; Schobel, S.; Shrivastava, S.; Hartert, T.",J. Craig Venter Institute,Homo sapiens,15219,2016-04-06,KU950470.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9996059113300492,NA,NA,KU950470.1,NA,NA,RSVA/Homo sapiens/USA/TH_10464/2013,0,0,2013-10-09T00:00:00Z,2013,RSV-A,263,0.061662641597820735
PP_001USFN.1,A.D,2020-02-17,Germany,NA,"Kondgen, S.; Reiche, J.",Robert Koch Institut,Homo sapiens,15152,2024-02-13,OR795392.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9946141215106732,NA,NA,OR795392.1,NA,NA,hRSV/A/Germany/20-02443/2020,0,0,2020-02-17T00:00:00Z,2020,RSV-A,98,0.10101525445522107
PP_001QVB1.1,A.D.3,2019-06-12,France,NA,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ275914.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ275914.1,NA,NA,330103032,0,0,2019-06-12T00:00:00Z,2019,RSV-A,55,0.13483997249264842
PP_004ELDQ.1,A.D.1.6,2025-08-02,Australia,Victoria,"Dong, Xiaomin; Edwards, Steven; Deng, Yi Mo; Barr, Ian; Hirankitti, Arada; Dapat, Clyde",WHO Collaborating Centre for Reference and Research on Influenza,NA,15218,2025-12-17,hRSV/A/Australia/VIC-MMC-0331/2025,whoflu,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,SAMEA120868917,0.9992775041050904,NA,Melbourne,OZ389114.1,NA,NA,NA,0,0,2025-08-02T00:00:00Z,2025,RSV-A,131,0.0873704056661038
PP_001UQYP.1,A.D,2013-01-18,Germany,NA,"Kondgen, S.; Reiche, J.",Robert Koch Institut,Homo sapiens,15116,2024-02-13,OR795341.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9927093596059112,NA,NA,OR795341.1,NA,NA,hRSV/A/Germany/13-01591/2013,0,0,2013-01-18T00:00:00Z,2013,RSV-A,9,0.3333333333333333
PP_001RA22.1,A.D,2015-12-30,USA,Texas,"Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.","Astrazeneca, Early Vaccines & Immune Therapies",Homo sapiens,1725,2023-03-05,OQ276395.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OQ276395.1,NA,NA,A_TX_2028_2016_09,0,0,2015-12-30T00:00:00Z,2015,RSV-A,106,0.09712858623572641
PP_001UFPG.1,A.D.3,2019,China,NA,"Fu, Y.; Li, Q.; Li, F.; Huang, L.; Zhang, H.; Chen, X.; Xie, Z.","Laboratory of Infection and Virology, Beijing Pediatric Research Institute, Beijing Children's Hospital, Beijing Key Laboratory of Pediatric Respiratory Infectious Diseases",Homo sapiens,1725,2023-10-25,OR570345.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.11330049261083744,NA,NA,OR570345.1,NA,NA,20190070/BJ/CHN/2019,0,0,2019-01-01T00:00:00Z,2019,RSV-A,119,0.09166984970282113
PP_001VCC6.1,A.D,2020-02-11,Russia,NA,"Langedijk, A. C.; Lebbink, R. J.; Bont, L. J.; Evers, A.","UMC Utrecht, Paediatric Infectious Diseases",Homo sapiens,15203,2024-04-09,PP376286.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.9985550082101806,NA,NA,PP376286.1,NA,NA,070103025,0,0,2020-02-11T00:00:00Z,2020,RSV-A,44,0.15075567228888181
PP_001EUJ8.1,A.3.1,2010-03-03,Kenya,NA,"Agoti, C. N.; Munywoki, P. K.; Phan, M. V. T.; Otieno, J. R.; Kamau, E.; Bett, A.; Githinji, G.; Medley, G. F.; Cane, P. A.; Kellam, P.; Cotten, M. L.; Nokes, D. J.","KEMRI - Wellcome Trust Research Collaborative Programme, Epidemiology and Demography Department",Homo sapiens,14703,2016-08-22,KX510249.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,NA,0.8352709359605911,NA,NA,KX510249.1,NA,NA,Kilifi_10010_58_RSVA_2010,0,2057,2010-03-03T00:00:00Z,2010,RSV-A,124,0.08980265101338746
